Blog	four	second	music	want	place	types	series	service	needed	project	letter	tech	came	best	never	asked	much	life	worked	memorial	things	had	possible	right	old	easy	call	happy	later	time	minute	team	along	love	working	such	data	so	years	didn	internet	million	quite	open	city	future	san	turned	say	saw	take	pages	ways	slow	going	where	screen	many	wants	photos	former	single	summer	being	around	world	power	her	complete	am	cpu	th	small	past	full	hours	social	action	via	company	always	found	really	number	also	play	plan	writes	set	startup	see	seo	available	whole	community	readers	couple	d	anything	link	uk	ago	having	results	try	race	video	let	great	makes	next	process	high	move	doing	david	system	fact	should	printers	stuff	edition	email	etc	co	ve	site	off	web	government	five	become	does	problem	write	above	told	word	work	could	far	order	then	them	away	com	photo	board	night	marketing	months	way	war	together	known	cost	live	remember	still	space	looking	care	yourself	online	america	only	between	article	comes	these	media	real	read	early	using	business	start	lot	trying	sales	month	very	learned	family	put	help	actually	event	since	issue	launch	american	mobile	latest	pretty	during	x	won	probably	missing	both	else	while	used	user	popular	e	youtube	go	facebook	click	win	announced	started	control	links	him	university	special	times	need	able	based	written	group	party	well	page	twitter	home	north	star	amp	look	across	even	tips	ever	tell	rights	give	amazing	answer	president	before	personal	better	went	side	mean	content	matter	seen	don	m	points	bad	decided	said	against	appeared	three	website	left	human	yes	yet	down	form	drive	weekend	died	finally	me	did	run	boy	visit	making	may	man	maybe	talk	nbsp	interesting	thing	think	long	little	anyone	were	paid	especially	show	morning	enough	reading	according	those	different	pay	same	running	money	either	users	road	again	important	u	starting	children	public	search	share	coming	through	golfing	someone	another	house	hard	idea	members	done	part	built	build	find	please	point	simple	itself	yesterday	spent	source	big	bit	google	often	entire	private	themselves	ll	math	gear	super	national	almost	thought	happens	biggest	buy	minutes	every	school	street	changes	would	phone	my	keep	end	writers	over	writing	each	got	free	days	already	top	too	took	though	amazon	news	quickly	several	gave	donald	everything	who	two	trip	cool	doesn	says	water	today	trump	platform	happened	name	she	turn	white	season	any	ideas	sure	state	come	color	case	good	week	without	seems	blog	legal	everyone	follow	woman	list	version	short	might	health	friday	feel	story	store	kind	check	his	art	recently	creating	became	political	questions	question	fast	called	nice	microsoft	once	issues	deals	app	use	few	something	six	looks	our	york	which	why	thousands	words	view	stories	job	last	gets	other	know	because	lead	getting	own	made	whether	below	book	june
wdw	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	9	0	3	0	0	0	1	0	0	1	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	3	1	0	0	2	0	0	2	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	4	1	1	0	0	0	2	0	0	0	0	0	1	3	1	2	0	0	1	0	0	0	11	0	0	0	0	2	0	1	0	0	3	1	3	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	2	0	0	0	4	0	0	0	2	2	0	0	2	0	2	0	3	1	3	2	0	0	0	0	0	0	8	0	0	1	7	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	1	2	3	0	0	0	1	0	0	2	2	0	0	0	6	0	1	0	0	3	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	3	3	0	0	0	0	1	1	0	1	1	2	0	0	0	2	2	0	0	0
Schneier on Security	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	1	1	0	0	0	4	1	0	0	0	0	0	1	8	1	0	1	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	3	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	1	1	3	0	0	1	1	0	0	0	0	1	2	2	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	3	0	3	0	0	1	1	3	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	4	3	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	6	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	4	0	1	1	1	0	1	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	1	2	0	2	0	1	2	1	3	1	0	0	0	0	1	0	1	1	0	3	1	0	0	0	0	0	3	0	0	0	1	0	2	5	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	1	0	0	4	0	1	0	0	1	0	0	0	0	0	1	0	0	5	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	2	0	4	0	1	0	1	0	0	4	0	0	0	2	0	2	0	0	0	0	5	1	2	0	0	0	1	0	0	0	1	3	0	0	1	1	0	1	0	2	1	1	1	0	0	1	0	3	0	1	0	2	0	0	2	0	0	1	0	1	0	0	0	0	2	0	2	5	1	4	0	0	1	0	2	2	0	0	0	1	1	2	0	1	0	0	0	0	2	0	0	0	1	0
Search Engine Roundtable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	2	1	4	0	0	0	0	0	2	0	1	1	0	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	10	1	0	1	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	1	0	10	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
PerezHilton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Engadget RSS Feed	0	0	1	0	0	0	0	2	0	0	0	2	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	5	0	0	1	1	1	0	1	1	1	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	2	2	1	0	0	0	3	3	3	0	0	0	2	0	0	3	1	1	1	2	2	2	0	0	2	2	0	0	3	0	0	0	1	0	0	0	4	1	2	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	2	0	1	1	0	1	2	1	1	0	0	0	0	0	0	2	0	3	1	0	1	1	1	0	1	4	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	4	1	1	5	1	0	0	0	1	0	0	1	0	1	3	0	1	0	1	3	3	0	0	0	0	0	0	2	2	1	0	3	0	2	0	4	2	0	0	3	1	1	0	0	0	0	0	0	0	0	2	3	0	4	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	2	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	3	0	1	1	0	2	1	2	3	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	2	0	2	0	2	0	2	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	6	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	1	0	0	1	2	1	0	0	2	2
ProBlogger	5	8	0	13	4	6	19	0	2	0	0	3	0	18	10	2	7	3	3	0	8	4	0	17	4	4	2	2	0	37	0	1	0	6	4	0	0	22	5	0	0	0	4	1	0	1	0	0	3	0	15	4	10	2	14	10	0	15	0	1	0	2	0	12	5	3	1	8	2	10	0	0	9	1	4	1	11	3	2	1	4	4	19	2	10	0	1	1	7	3	4	4	1	0	1	99	2	7	2	2	0	1	5	3	2	0	21	5	27	4	7	1	2	3	7	0	17	2	17	0	1	0	22	4	0	13	22	3	2	0	3	10	0	1	11	8	0	4	12	11	2	0	18	33	4	6	1	0	1	13	5	17	0	4	0	0	36	2	1	0	10	0	4	1	0	2	1	2	6	19	6	1	6	0	16	9	11	3	1	3	2	8	0	0	7	28	2	5	1	2	1	0	3	0	3	0	5	2	1	1	1	3	1	11	2	2	0	3	19	52	8	3	0	7	0	7	0	0	1	4	10	4	2	2	2	1	9	13	2	3	0	0	1	28	0	10	26	3	1	1	27	2	11	0	4	4	16	4	1	0	84	8	2	8	11	8	2	1	0	0	28	1	7	2	0	1	2	5	2	2	1	0	0	17	11	1	0	0	1	4	0	0	12	10	3	9	5	9	7	0	4	4	1	7	0	1	10	1	6	8	2	9	0	9	3	1	0	2	4	0	3	0	0	6	6	4	15	0	8	12	1	3	0	0	8	6	2	8	13	8	3	3	3	2	2	6	5	3	5	1	0	0	2	5	0	0	3	0	0	2	0	3	3	0	6	2	0	0	9	0	32	7	6	1	14	12	3	8	12	5	2	1	7	1	0	0	1	2	5	3	0	0	14	5	0	1	3	0	0	35	0	0	0	16	11	2	0	0	8	5	3	0	5	1	10	4	8	3	0	161	2	1	4	0	10	4	2	5	0	1	5	0	2	0	2	5	2	1	11	0	0	11	22	1	1	1	0	2	1	0	4	26	5	13	1	2	23	0	6	24	0	4	3	11	3	4	4	12	8	14	14	27	2	5	1	9	7	0
mezzoblue	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	5	2	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
ShoeMoney	0	0	0	2	0	0	0	0	0	0	0	0	2	4	1	1	5	0	1	0	1	7	1	0	1	0	0	6	0	8	0	1	0	1	1	1	0	22	10	3	4	1	0	4	0	0	0	0	4	0	1	0	0	0	4	4	0	3	0	1	1	0	0	5	1	1	0	2	0	12	0	0	0	0	0	0	0	0	0	4	2	0	2	0	5	1	1	0	1	0	2	3	1	0	1	1	1	1	2	0	0	7	2	1	0	2	3	1	5	0	2	0	0	0	3	0	0	0	1	0	1	0	6	5	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	2	0	9	1	0	3	0	0	2	6	1	2	0	4	0	2	10	1	0	3	1	2	0	3	0	1	0	0	0	3	1	1	2	0	0	1	2	4	0	4	0	5	2	1	1	1	3	3	2	0	0	0	0	1	5	4	0	0	1	0	1	0	1	1	0	0	0	0	9	5	8	0	0	6	0	0	4	0	3	1	0	0	0	1	1	0	4	2	0	0	0	0	0	3	0	1	0	3	4	0	3	2	1	0	1	0	0	1	0	1	1	0	0	9	1	0	2	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	13	0	1	0	0	2	0	0	0	2	0	0	1	1	1	0	1	4	1	0	19	0	1	1	0	0	1	2	0	0	7	1	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	1	1	0	0	5	0	1	0	2	0	1	0	0	0	0	0	4	2	3	0	1	0	1	0	0	0	0	0	0	3	1	3	1	1	2	0	0	0	5	0	33	1	0	0	7	1	2	5	0	1	0	0	0	2	0	0	0	0	4	0	0	0	4	0	1	0	0	0	0	15	0	0	0	2	4	0	0	0	3	0	1	0	7	0	0	5	0	0	0	4	0	1	3	0	1	0	4	0	1	0	0	2	1	2	6	6	0	2	0	0	1	1	2	0	0	0	0	1	0	0	1	2	1	2	0	0	4	0	1	3	3	0	0	1	0	2	1	6	7	1	0	2	4	0	0	0	1	0
Slashdot	1	1	1	0	0	0	0	12	0	0	0	2	0	1	0	2	0	0	0	0	1	5	4	1	2	0	2	0	1	0	0	5	0	0	0	2	5	1	1	0	1	0	1	0	0	1	0	0	4	0	4	0	1	0	0	1	0	9	3	0	1	1	0	2	2	2	0	0	0	0	0	0	0	0	1	0	1	2	6	3	0	2	2	1	6	0	2	11	1	1	1	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	8	0	5	0	2	2	2	4	1	1	1	1	2	0	0	0	1	0	0	1	3	2	0	4	0	2	4	4	0	0	3	1	1	3	0	0	1	2	0	0	1	0	0	1	1	3	1	0	2	0	1	0	4	0	1	0	0	5	0	2	1	1	2	5	0	0	17	0	4	0	3	0	0	1	2	1	0	1	0	2	1	1	2	1	2	0	2	1	0	0	0	0	0	0	3	0	3	1	4	3	0	12	3	0	1	1	1	2	2	0	3	2	0	0	3	4	0	0	2	4	2	0	0	4	1	0	0	3	0	4	0	2	1	0	0	0	2	1	2	1	0	1	0	0	3	0	2	2	0	0	0	0	6	2	0	0	2	0	0	2	2	3	1	0	2	2	0	0	5	1	0	0	1	6	0	0	0	0	0	0	5	3	0	0	3	0	0	3	2	0	0	5	0	0	1	1	0	0	1	11	0	1	0	2	0	0	4	0	0	1	2	0	0	0	0	2	0	0	1	1	1	5	0	0	2	0	1	0	0	2	1	1	3	1	0	2	0	0	5	0	0	1	1	2	0	0	1	0	0	0	0	1	2	2	1	2	5	0	9	0	1	1	0	5	4	0	1	1	1	0	2	0	2	0	2	0	4	5	0	0	4	7	0	2	3	0	1	3	1	3	1	0	1	0	0	1	1	3	0	2	3	2	3	0	4	0	0	0	1	1	0	1	0	0	0	15	1	0	1	3	0	1	1	1	0	1	0	0	5	0	12	0	0	0	1	4	1	1	0	0	8	1	12	3	0	0	2	1	0	2	0	6	0	2	0	0	5	2	1	0	0	1
